old 90,new 90,old 180,new 180
0.728072412,0.12795805,1.468496637,0.284073226
0.501292027,0.168684289,0.926250359,0.214798923
0.79966028,0.124193269,0.922401571,0.23343461
0.733360874,0.124796439,1.219344162,0.270854731
0.584778934,0.139945301,0.97623317,0.218407942
0.803530636,0.125349891,1.314306284,0.253885797
0.53010478,0.161119074,1.225324194,0.253260032
0.866550525,0.124970333,0.925546115,0.274654508
0.893639705,0.144785215,1.353362643,0.269250506
0.807770059,0.125898249,0.722673449,0.238765826
0.623882767,0.168753653,0.964338414,0.269601003
0.799587933,0.123517825,1.266940669,0.239218663
0.623544672,0.140283872,0.897696723,0.212169097
0.735509784,0.121994984,0.742693108,0.284321383
0.460732259,0.139015444,1.147451881,0.208634574
0.870441923,0.169559335,1.28333369,0.220633047
0.808495898,0.129659878,1.221158124,0.28289839
0.791067476,0.140420173,1.328659337,0.220393439
0.73600274,0.148493972,1.490814924,0.28093976
0.545862117,0.170751366,1.053918816,0.213730335
0.432333258,0.129725846,0.884959394,0.273248857
0.846943638,0.146123006,1.2477371,0.21402441
0.871346267,0.124839124,1.114397151,0.246634542
0.585704083,0.148870377,1.113808353,0.255656845
0.627484538,0.139573746,1.219589195,0.211597555
0.516818371,0.117468418,1.449959516,0.241619139
0.853342611,0.12815935,1.19414462,0.237417818
0.922179618,0.136769381,1.23910439,0.291273189
0.738725939,0.125850229,1.071957644,0.226612744
0.799236834,0.145617333,1.356913945,0.290455689
0.708083691,0.136205743,1.12044609,0.253423679
1.023729525,0.144274448,1.555503038,0.281903565
0.808937312,0.139661542,1.143723681,0.223781169
0.629628483,0.148793981,1.66975075,0.289390276
0.500278689,0.131448046,1.172836033,0.216808845
0.762561372,0.140810888,1.288183691,0.257903688
0.952026515,0.1483567,1.319137773,0.258823529
0.858289904,0.146556163,0.542886565,0.263082249
0.95120043,0.147398467,1.146731695,0.291567265
0.668721677,0.145719922,1.394656693,0.218318791
0.723125119,0.12451656,0.877740315,0.247288396
0.461238928,0.14196848,1.663728808,0.235450639
0.629516416,0.123685655,0.845089002,0.277588424
0.677682366,0.175286178,0.727192027,0.224118232
0.560095427,0.116858942,1.039862733,0.206315433
0.834912908,0.135712438,0.560281829,0.233163005
0.4320921,0.121883178,1.122196287,0.217449021
0.418325975,0.169579465,0.708873969,0.284791562
0.493339947,0.169446074,1.161168569,0.262641625
0.404890142,0.14146887,1.186939939,0.270369165
0.981927082,0.123653884,0.863859072,0.218358848
0.800051099,0.140891165,0.682523314,0.223922589
0.565856984,0.148475782,0.751825397,0.2457169
0.662302608,0.142511503,1.315570272,0.260563068
0.759700571,0.121060276,0.584321773,0.288471168
0.434596127,0.143328584,1.28204399,0.213871511
0.777198031,0.163779135,0.576531122,0.241719526
0.521628063,0.151413539,0.552260287,0.260111452
0.701477134,0.121296014,0.762908433,0.291678887
0.796231102,0.137832386,0.753788229,0.22424231
0.485740857,0.142511746,1.049978238,0.248862823
0.637548882,0.156152803,1.024251349,0.247610071
0.605381662,0.143478225,1.659530341,0.288234736
0.752782636,0.141085431,1.260873731,0.213524433
0.77774844,0.147262408,1.315193852,0.217825164
0.729537095,0.146088324,0.804511024,0.237089792
0.655956123,0.145535843,0.760919889,0.262217609
0.43924812,0.126348626,1.74090639,0.284957407
0.508862272,0.141507674,0.546224461,0.216356985
0.470746952,0.119747708,1.190396109,0.27251953
0.466270627,0.165408689,0.997638176,0.251244736
0.84828916,0.146066012,1.557142418,0.282207655
0.922005133,0.12755715,1.46477178,0.250361777
0.47920972,0.122364113,1.239447384,0.236219045
0.572028038,0.122439297,1.040579833,0.216662296
0.74766062,0.146888913,1.2109444,0.221718977
0.73367438,0.139000165,0.777057336,0.234997069
0.864219091,0.145443439,1.24187817,0.224759629
0.734264272,0.117903758,1.241930879,0.278120153
1.006595694,0.139575929,1.167079436,0.221426855
